시간,출발지,도착지,프로토콜,상태,상세내용
21:21:41,192.168.219.101,8.8.8.8,ICMP,🚨 위협,Size: 74 bytes
21:21:41,8.8.8.8,192.168.219.101,ICMP,🚨 위협,Size: 74 bytes
21:21:42,192.168.219.101,8.8.8.8,ICMP,🚨 위협,Size: 74 bytes
21:21:42,8.8.8.8,192.168.219.101,ICMP,🚨 위협,Size: 74 bytes
21:21:43,192.168.219.101,8.8.8.8,ICMP,🚨 위협,Size: 74 bytes
21:21:43,8.8.8.8,192.168.219.101,ICMP,🚨 위협,Size: 74 bytes
21:21:44,192.168.219.101,8.8.8.8,ICMP,🚨 위협,Size: 74 bytes
21:21:44,8.8.8.8,192.168.219.101,ICMP,🚨 위협,Size: 74 bytes
21:21:45,192.168.219.101,8.8.8.8,ICMP,🚨 위협,Size: 74 bytes
21:21:45,8.8.8.8,192.168.219.101,ICMP,🚨 위협,Size: 74 bytes
21:21:46,192.168.219.101,8.8.8.8,ICMP,🚨 위협,Size: 74 bytes
21:21:46,8.8.8.8,192.168.219.101,ICMP,🚨 위협,Size: 74 bytes
21:21:47,192.168.219.101,8.8.8.8,ICMP,🚨 위협,Size: 74 bytes
21:21:47,8.8.8.8,192.168.219.101,ICMP,🚨 위협,Size: 74 bytes
21:21:48,192.168.219.101,8.8.8.8,ICMP,🚨 위협,Size: 74 bytes
21:21:48,8.8.8.8,192.168.219.101,ICMP,🚨 위협,Size: 74 bytes
21:21:49,192.168.219.101,8.8.8.8,ICMP,🚨 위협,Size: 74 bytes
21:21:49,8.8.8.8,192.168.219.101,ICMP,🚨 위협,Size: 74 bytes
21:21:50,192.168.219.101,8.8.8.8,ICMP,🚨 위협,Size: 74 bytes
21:21:50,8.8.8.8,192.168.219.101,ICMP,🚨 위협,Size: 74 bytes
21:59:21,192.168.219.101,1.1.1.1,ICMP,🚨 위협,74 bytes
21:59:21,1.1.1.1,192.168.219.101,ICMP,🚨 위협,74 bytes
21:59:22,192.168.219.101,1.1.1.1,ICMP,🚨 위협,74 bytes
21:59:22,1.1.1.1,192.168.219.101,ICMP,🚨 위협,74 bytes
21:59:23,192.168.219.101,1.1.1.1,ICMP,🚨 위협,74 bytes
21:59:23,1.1.1.1,192.168.219.101,ICMP,🚨 위협,74 bytes
21:59:24,192.168.219.101,1.1.1.1,ICMP,🚨 위협,74 bytes
21:59:24,1.1.1.1,192.168.219.101,ICMP,🚨 위협,74 bytes
21:59:25,192.168.219.101,1.1.1.1,ICMP,🚨 위협,74 bytes
21:59:25,1.1.1.1,192.168.219.101,ICMP,🚨 위협,74 bytes
21:59:26,192.168.219.101,1.1.1.1,ICMP,🚨 위협,74 bytes
21:59:26,1.1.1.1,192.168.219.101,ICMP,🚨 위협,74 bytes
21:59:27,192.168.219.101,1.1.1.1,ICMP,🚨 위협,74 bytes
21:59:27,1.1.1.1,192.168.219.101,ICMP,🚨 위협,74 bytes
21:59:28,192.168.219.101,1.1.1.1,ICMP,🚨 위협,74 bytes
21:59:28,1.1.1.1,192.168.219.101,ICMP,🚨 위협,74 bytes
21:59:29,192.168.219.101,1.1.1.1,ICMP,🚨 위협,74 bytes
21:59:29,1.1.1.1,192.168.219.101,ICMP,🚨 위협,74 bytes
22:03:14,192.168.219.101,58.29.150.15,TCP,정상,1514 bytes
22:03:14,58.29.150.15,192.168.219.101,TCP,정상,66 bytes
22:03:14,192.168.219.101,58.29.150.15,TCP,정상,1514 bytes
22:03:14,58.29.150.15,192.168.219.101,TCP,정상,66 bytes
22:03:14,58.29.150.15,192.168.219.101,TCP,정상,66 bytes
22:03:14,58.29.150.15,192.168.219.101,TCP,정상,66 bytes
22:03:14,58.29.150.15,192.168.219.101,TCP,정상,66 bytes
